id;CourseCode;Name;DepartmentName;SemesterName;SemesterType;ECTS;Description;TeachingLanguage;Prerequisite
1;T-100-HUGM;Hugmyndavinna;Verkfræðideild;Haustönn 2022;12V;1;"<p><strong>Stig námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1. Grunnnám, grunnnámskeið.<br><strong>Tegund námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skyldunámskeið fyrir allar námsbrautir.<br><strong>Nauðsynlegir undanfarar: </strong>Engir undanfarar.<br><br>Námskeiðið byggist á hópvinnu þar sem nemendur á fyrsta námsári í BSc verkfræði og BSc tæknifræði&nbsp;vinna í þrjá daga að hugmyndum að lausn á raunhæfu verkefni sem lagt er fyrir þá. Nemandi þarf að hafa lokið námskeiðinu áður en hann fer upp á þriðja námsár.</p><p><strong>Lesefni:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>Efni frá kennurum<strong>.</strong></p>";Íslenska;0
2;T-101-ORKA;Orka;Verkfræðideild;Haustönn 2022;12V;6;<p><strong>Stig námskeiðs: </strong>1. Grunnnám, grunnnámskeið.<br><strong>Tegund námskeiðs: </strong>Skyldunámskeið fyrir allar námsbrautir.<br><strong>Nauðsynlegir undanfarar: </strong>Engir.</p><p>Í upphafi námskeiðs munu nemendur fá kennslu í notkun á forritun, t.d. í Matlab, við úrlausn á verkfræðilegum verkefnum. Þessi tól verða notuð í námskeiðinu við verkefnavinnu. Kynnt verða undirstöðuhugtök og lögmál eðlisfræðinnar er lúta að varmafræði og varmaflutningsfræði. Áhersla verður lögð á varðveislu efnis, massa og orku í einföldum kerfum.</p><p>Varmafræðilegir eiginleikar hreinna efna og lögmál varmafræðinnar og leiðir til varmaflutnings verða kynnt sem og greining á orkugjöfum til varma- og raforkuframleiðslu.</p><p><strong>Lesefni: </strong>Eðlisfræðibókin, kennsluefni á Mathworks, annað efni sem kennari vísar á.</p>;Íslenska;0
3;T-101-STA1;Stærðfræði I;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs:</strong> 1. Grunnnám, grunnnámskeið.<br><strong>Tegund námskeiðs:</strong> Skyldunámskeið fyrir allar námsbrautir í verkfræði.<br><strong>Nauðsynlegir undanfarar:</strong> Engir undanfarar.<br><br>Námskeiðið fjallar um stærðfræðigreiningu raungildra falla af einni breytistærð. Auk þess er farið í undirstöðureikning með tvinntölum. Umfjöllun verður um mikilvægustu föllin og eiginleika þeirra, hér undir; markgildi, samfelldni, diffrun, heildun, línulega nálgun og Taylor-margliður. &nbsp;Að auki skoðum við nokkrar einfaldar diffurjöfnur og lærum um þrepun. &nbsp;Áhersla er lögð á að nemendur tileinki sér stærðfræðilega táknanotkun og geti skilið og beitt stærðfræðilegri röksemdafærslu.</p><p><strong>Lesefni: </strong>Robert A. Adams<strong>, </strong><em>Calculus, A Complete Course</em>. Fyrirlestrarglósur frá kennara.</p>";Íslenska;0
4;T-102-EDL1;Eðlisfræði I;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs:&nbsp;</strong>&nbsp;1. Grunnnám, grunnnámskeið.<br><strong>Tegund námskeiðs:</strong>&nbsp; &nbsp;Skyldunámskeið fyrir allar námsbrautir í verkfræði.<br><strong>Nauðsynlegir undanfarar: </strong>Engir undanfarar.</p><p>Eðlisfræði er grunnur að hefðbundum greinum verkfræðinnar en aðferðafræði eðlisfræðinnar, sérstaklega líkanagerð, nær langt út fyrir þessi hefðbundnu svið. Til dæmis nýtast aðferðir eðlisfræðinnar til að lýsa kerfum í líffræði, hagfræði og fjármálum. Í áfanganum er nemandinn þjálfaður í að lýsa einfaldri hreyfingu hluta og grunnatriðum varmafræði. Eðlisfræðin eykur skilning á umhverfi okkar, náttúrunni og tækninni, og gefur innsýn sem hvetur og styður við skapandi hugsun við lausn verkefna.</p><p><br><strong>Lesefni:</strong> H.D Young and R.A Freedman, University Physics with Modern Physics.</p>";Íslenska;0
5;T-102-VERK;Inngangur að verkfræði;Verkfræðideild;Haustönn 2022;3V;5;"<p><strong>Stig námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1. Grunnnám, grunnnámskeið.<br><strong>Tegund námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skyldunámskeið fyrir allar námsbrautir í verkfræði.<br><strong>Nauðsynlegir undanfarar: </strong>Engir undanfarar.</p><p>Í námskeiðinu vinna nemendur á fyrsta námsári í BSc verkfræði að lausn á raunhæfu verkefni í þrjár vikur. Í námskeiðinu er lögð áhersla á skipulagðar aðferðir við hugmyndavinnu, hópvinnu, verkefnastjórnun og mismunandi möguleika við að kynna niðurstöður verkefna.</p><p><strong>Lesefni: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>Efni frá kennurum.</p>";Íslenska;0
6;T-105-HAGF;Hagfræði;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1. Grunnnám, grunnnámskeið.<br><strong>Tegund námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skyldunámskeið fjármálaverkfræði, rekstrarverkfræði.<br><strong>Nauðsynlegir undanfarar:&nbsp;&nbsp;</strong>Engir.&nbsp; Ráðlagðir undanfarar: Stærðfræði I (T-101-STA1).</p><p>Helstu atriði úr rekstrarhagfræði og viðfangsefni þjóðhagfræðinnar. Þjóðhagsreikningar og verðlagsþróun, landsframleiðsla til langs tíma hagvöxtur og atvinnuleysi, peningar, fjármagnsmarkaðir og verðbólga, heildarframboð, heildareftirspurn og áhrif hagstjórnaraðgerða, hlutverk hins opinbera, hagsveiflur, verðbólga og atvinnuleysi, viðskipti milli landa. Sérstök áhersla er lögð á að tengja fræðin íslenskum aðstæðum og atburðum líðandi stundar. Gera má ráð fyrir að við gerð heimaverkefnis/kynningar þurfi nemendur að vera reiðubúnir að vinna að því með formlegum hætti þ.e. réttri heimildanotkun o.þ.h.</p><p><strong>Lesefni: </strong>Mankiw &amp; Taylor, <em>Economics.</em></p>";Íslenska;0
7;T-106-LIFV;Sameinda- og frumulíffræði;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs:</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1. Grunnnám, grunnnámskeið. &nbsp;&nbsp;&nbsp;<br><strong>Tegund námskeiðs: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>Skyldunámskeið heilbrigðisverkfræði.<br><strong>Nauðsynlegir undanfarar: </strong>Engir. Efnafræði (T-204-EFNA) er ráðlagður undanfari.</p><p>Fyrsti hluti: Inngangur að frumulíffræði, lífefnafræði frumna og prótein.</p><p>Annar hluti: Sameindaerfðafræði. Genamengið og litningar, DNA eftirmyndun, DNA viðgerðir og DNA &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; endurröðun. Umritun á DNA yfir í RNA. Þýðing á RNA yfir í prótein. Grunnatriði genastjórnunar.</p><p>Þriðji hluti: Frumuhimnan, flutningur sameinda yfir frumuhimnu, Innra skipulag frumunar, Flutningur í &nbsp;&nbsp;&nbsp; blöðrum, Orkubúskapur frumunar, Boðskipti frumunar og Frumugrindin.</p><p><strong>Lesefni: </strong>Alberts et al, <em>Essential Cell Biology.4th edition</em></p>";Íslenska;0
8;T-211-LINA;Línuleg algebra;Verkfræðideild;Haustönn 2022;12V;6;"<p><strong>Stig námskeiðs:</strong>&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 1. Grunnnám, grunnnámskeið<br><strong>Tegund námskeiðs:</strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Skyldunámskeið fyrir allar námsbrautir í verkfræði<br><strong>Nauðsynlegir undanfarar:</strong> Engir undanfarar.</p><p>Farið er í undirstöðuatriði línulegrar algebru og notkun á þeim. Tekinn er fyrir fylkjareikningur og aðferðir við lausn á línulegum jöfnuhneppum. Fjallað er um línulegar varpanir, ákveður, eigingildi og eiginvigra. Myndræn beiting fylkjareiknings er skoðuð. Fjallað er um vigrarúmfræði, þar á meðal jöfnur fyrir plön. Teknar eru fyrir aðferðir til að leiða út grunn fyrir ýmis hlutrúm Rn. Nemendur fá að kynnast almennum vektorrúmum og eiginleika þeirra.</p><p><strong>Lesefni: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>Lay, Lay and McDonald, <em>Linear Algebra and its Applications.</em></p>";Íslenska;0
9;T-301-MATH;Stærðfræði III;Verkfræðideild;Haustönn 2022;12V;6;<p><strong>Stig námskeiðs:</strong> 2. Grunnnám, framhaldsnámskeið.<br><strong>Tegund námskeiðs:</strong> Skyldunámskeið fyrir allar námsbrautir.<br><strong>Nauðsynlegir undanfarar:</strong> Stærðfræði I (T-101-STA1), Línuleg algebra (T-211-LINA). Aðrir ráðlagðir undanfarar: Eðlisfræði I (T-102-EDL1), Stærðfræði II (T-201-STA2).</p><p>Fyrsta stigs línulegar diffurjöfnur og diffurjöfnur með aðskiljanlegar breytistærðir. Nákvæmar diffurjöfnur og heildunarþættir. Einsleitar diffurjöfnur og Bernoulli jafnan. Annars stigs diffurjöfnur með fastastuðlum. Aðferð breytilegra stuðla og aðferð óákvarðaðra fasta. Laplace umformun, Heaviside fallið og Deltafall Diracs. Veldaraðalausnir á upphafsgildisverkefni. Fourier- Sínus og Kósínusraðir. Raungildar lausnir á fyrsta stigs línulegum diffurjöfnuhneppum. Hlutafleiðujöfnur. Einfaldar ítranir til að leysa diffurjöfnu tölulega meðal annars aðferð Eulers.</p><p><strong>Lesefni: </strong>O´Neil, <em>Advanced Engineering Mathematics. </em>Fyrirlestrarnótur frá kennara<em>.</em></p>;Íslenska;1
10;T-302-TOLF;Tölfræði I;Verkfræðideild;Haustönn 2022;12V;6;<p><strong>Stig námskeiðs: </strong>2. Grunnnám, framhaldsnámskeið.<br><strong>Tegund námskeiðs: </strong>Skyldunámskeið fyrir allar námsbrautir í verkfræði.<br><strong>Nauðsynlegir undanfarar:</strong> Stærðfræði I (skylda). Forritun I eða sambærilegt forritunarnámskeið (ráðlagt).</p><p>Í námskeiðinu er stefnt að því að nemendur öðlist skilning á grundvallar líkindagreiningu og hagnýtri tölfræði. Nemendur geti beita tölfræði við greiningu gagna og prófað tilgátur með tölvuforriti og geti metið niðurstöður tilrauna þar sem niðurstaðan er flókið gagnasett. Farið er yfir: Líkur, skilyrtar líkur, slemibreytur, skekkjugreining, algengar dreifingar, öryggisbil, tilgátupróf, fylgni, einföld og margföld aðhvörf.</p><p><strong>Lesefni: </strong>Navidi, <em>Statistics for Engineers and Scientists.</em></p>;Enska;1
